win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
1.0,-1,-3,5,6,9,2,-4,-12,-16,-8,7,2,-5,-7,3,5,1,-10,-5,-5,19,-33,0,-10,1,-2,15,MEM,MIN,2019-02-06
1.0,-12,1,-9,0,5,6,-9,5,-4,1,0,1,-2,3,-4,2,-3,-6,-13,-3,3,26,0,1,0,-2,3,IND,MIA,2018-11-17
1.0,-12,-3,9,7,-3,1,-4,11,7,6,-6,0,6,11,-16,-7,-7,-28,-23,-14,-7,-25,-1,-4,2,1,-17,PHX,MEM,2018-11-05
1.0,-7,6,2,-4,-4,-1,-5,5,0,1,-1,3,1,1,5,1,2,18,-3,9,16,1,0,0,-8,0,8,TOR,MIN,2018-10-24
0.0,-10,-11,5,5,16,9,5,7,12,4,-5,-5,-3,9,2,1,1,-16,-2,-8,-11,14,1,1,0,1,-11,BKN,IND,2018-12-22
1.0,4,10,-15,-4,-7,-3,1,7,8,3,-1,3,0,-3,-9,-6,-2,14,3,7,16,-5,0,2,-6,-2,-4,SAS,UTA,2018-12-10
0.0,25,5,1,2,-18,-17,4,-7,-3,2,2,-6,4,-5,20,17,8,4,17,2,-5,16,0,7,6,-1,15,SAC,POR,2019-01-02
1.0,6,0,15,6,0,-2,5,-3,2,1,0,-3,0,-2,11,6,4,-14,-10,-7,6,19,0,3,0,0,4,MIN,NOP,2019-01-13
0.0,2,6,-17,-7,-10,-9,-1,1,0,-4,-2,6,3,3,8,5,4,30,21,15,-8,1,0,0,-1,0,-7,NOP,DET,2019-01-24
1.0,10,2,-10,-2,-1,-1,4,-6,-2,-10,1,-4,0,-3,0,0,0,18,28,9,-4,-22,2,-3,6,0,2,DET,PHI,2018-10-23
1.0,-3,2,-1,2,1,1,1,6,7,-6,-3,-6,2,7,-7,0,-5,-2,6,-1,5,30,0,5,8,0,2,POR,MEM,2018-12-20
0.0,-13,-9,-10,-10,6,5,-10,-11,-21,-10,2,1,-3,-3,-2,-2,-2,4,2,2,-26,0,0,-14,-4,0,5,MEM,LAL,2018-12-09
1.0,-6,2,-3,5,-2,0,-1,6,5,-1,-7,-7,3,8,5,2,1,-8,-1,-4,8,13,-1,-4,3,0,-13,NOP,MIN,2019-01-01
1.0,-7,1,15,10,8,6,-1,11,10,10,0,4,-3,4,-5,-6,-1,-14,-19,-7,25,-30,0,3,2,-1,-11,UTA,LAL,2019-01-12
1.0,1,5,-2,-1,-5,-5,1,2,3,-2,0,-9,3,3,8,4,3,14,15,7,2,17,0,3,1,1,-5,BKN,ORL,2019-01-24
1.0,13,3,4,0,-6,-5,-4,-14,-18,-4,8,-5,4,-13,13,7,4,-2,10,-1,1,-16,1,-8,-1,-1,20,OKC,UTA,2019-02-23
1.0,-4,-2,-2,4,15,9,-1,-1,-2,-3,4,1,-8,-4,-5,-4,0,-16,-2,-8,-7,21,0,2,4,1,0,MEM,POR,2019-03-06
1.0,13,0,10,-2,5,5,2,-8,-6,1,9,2,-2,-11,4,4,2,12,5,6,-14,-7,0,5,3,-3,15,TOR,IND,2018-12-20
1.0,-3,2,-17,-3,3,2,4,4,8,1,4,0,-5,3,10,3,5,8,13,4,0,6,0,7,0,2,2,DAL,HOU,2018-12-08
